artist,song
/moonspell/,Heartshaped Abyss
/moonspell/,Let The Children Cum To Me...
/moonspell/,Memento Mori
/moonspell/,Once It Was Ours!
/moonspell/,Serpent Angel
/moonspell/,The Darkening
/moonspell/,Upon The Blood Of Men
/running-wild/,White Buffalo
/running-wild/,Billy The Kid
/running-wild/,Branded And Exiled
/running-wild/,Detonator
/running-wild/,Fall Of Dorkas
/running-wild/,Gods Of Iron
/running-wild/,Lions Of The Sea
/running-wild/,Merciless Game
/running-wild/,Powerride
/running-wild/,Resurrection
/running-wild/,Silent Killer
/running-wild/,Straight To Hell
/running-wild/,The Phantom Of Black Hand Hill
/running-wild/,Unation
/running-wild/,Whirlwind
/yngwie-malmsteen/,Rising Force
/yngwie-malmsteen/,Heaven Tonight
/yngwie-malmsteen/,All I Want Is Everything
/yngwie-malmsteen/,Bad Reputation
/yngwie-malmsteen/,Casting Pearls Before The Swine
/yngwie-malmsteen/,Cry No More
/yngwie-malmsteen/,Dragonfly
/yngwie-malmsteen/,Fire
/yngwie-malmsteen/,I Am A Viking
/yngwie-malmsteen/,Legion of the Damned
/yngwie-malmsteen/,Majestic Blue
/yngwie-malmsteen/,No Love Lost
/yngwie-malmsteen/,Priest Of The Unholy
/yngwie-malmsteen/,Rise Up
/yngwie-malmsteen/,Stronghold
/yngwie-malmsteen/,Tomorrow's Gone
/yngwie-malmsteen/,Wield My Sword
/testament/,Dream Deceiver
/testament/,Agony
/testament/,Burnt Offerings
/testament/,D.n.r.
/testament/,Dragon Attack
/testament/,False Prophet
/testament/,Last Stand For Independence
/testament/,Murky Waters
/testament/,Powerslave
/testament/,Sewn Shut Eyes
/testament/,The Formation Of Damnation
/testament/,Three Days In Darkness
/symphony-x/,Kiss Of Fire
/symphony-x/,Accolade II
/symphony-x/,Dressed To Kill
/symphony-x/,In The Dragon's Den
/symphony-x/,Nevermore
/symphony-x/,Reign In Madness
/symphony-x/,Taunting The Notorious
/symphony-x/,The Raging Season
/symphony-x/,Underworld
/carcass/,Buried Dreams
/carcass/,Cross My Heart
/carcass/,Ever Increasing Circles
/carcass/,Frenzied Detruncation
/carcass/,Malignant Defecation
/carcass/,Pyosified (Still Rotten To The Gore)
/carcass/,Splattered Cavities
/carcass/,Zochrot
/rage/,All This Time
/rage/,Beginning of the End
/rage/,Carved In Stone
/rage/,Death Is On It's Way (Falling From Grace Pt.2)
/rage/,Dies Irae
/rage/,Empty Hollow (Reprise)
/rage/,Face Behind The Mask
/rage/,Forever Dead
/rage/,Ghosts
/rage/,Hunter and Prey
/rage/,Innocent Guilty
/rage/,Light Into The Darkness
/rage/,Lunatic
/rage/,Mouth Of Greed
/rage/,Nobody Knows
/rage/,Paint The Devil On The Wall
/rage/,Raw Energy
/rage/,Scared To Death
/rage/,Sign Of Heaven
/rage/,Start!
/rage/,Talking To The Dead
/rage/,The Mirror In Your Eyes
/rage/,Tomorrow Never Comes
/rage/,Vanished In Haze
/rage/,Wasteland
/rage/,Yesterday
/the-gathering/,Analog Park
/the-gathering/,Areas
