ALink,SName,Lyric,genres,genre_1,genre_2,genre_3
/moonspell/,Selfabuse,"On my knees now
I'll inflict myself
some real love
On my knees now
I'll choke myself
in troubled love

On my knees now
I'll purge myself
of real love
On my knees now
I swear, I know nothing
of that troubled love

Have me, have me, have, never waste (the good) in me.
Watch me, watch me, watch me, but never try to be me.

I am a man again
through self abuse
improving myself
Through self abuse
I am a man again
through self abuse
Selfabuse

On my knees now
I'll end myself
through real love
On my knees now
I'll reveal myself in troubled blood.

Waste me, waste me, waste me, never try to beat me.

I am a man again
through self abuse
improving myself
Through self abuse

I am seeing someone
Sneaking through
my troubled blood...
I am feeling someone
Starving for my troubled love...

Waste me, waste me, waste me, never try to beat me.

Self abuse. Never try to complete with me.
","gothic metal, dark metal, 6 of 10 stars",gothic metal,dark metal,6 of 10 stars
/moonspell/,Lickanthrope,"Wolves gleam in human eyes
Stealing tears from divine
Break of hope, break of necks, hand on leash
Can't go wrong, Lickanthrope!

Heart of a wolf breaking the bitter skin
Under the chaos, under the moon
The pack is gathering

Little Red Riding Hood
Godspeed, Prostitute
Under the stars, under Venus
The Flock keeps giving

The night swallows the day
Her lips find a way
We don't want to be saved
Lickanthrope

Veil of the queen tying the hands of the king
In the name of the species, under the silks
Let the games begin!

Little Red Riding Hood
Godspeed you destitute
Under the stars, under Venus
The clock is ticking

Lunar skin, white as pearl
Collar wine, reap the thine
Ride the bitch to ecstasy
Can't go wrong, Lickanthrope!",,,,
/moonspell/,Medusalem,"Two white feathers sewn on the angel black
Be mine just for another thousand nights
Or leave me to rot to the gods of the sun
Just for a thousand lives
Two white feathers sewn to the the angel's back

In medusalem
Drive a needle through the camel's eye
The heart is a ticking time bomb
Ready to explode
Or leave me to smoke with the assassins tonight
Together we ride
Two white feathers sewn to the the angel's back

To medusalem
It's the land of honey
The land of pain
The city falls under its weight
The golden sands were painted red
And we shall free you from your chains

Two white feathers sewn on the angel black
Just open the gates, let there be light!
Or leave me to be with morgana tonight
To the land of cain, come together, we'll ride
Two more feathers sewn to the the angel's back

To medusalem
It's the land of honey
The land of pain
The city falls under its weight
The golden sands were painted red
And we shall free you from your chains

To medusalem
It's the land of honey
The land of pain
The city falls under its weight
The golden sands were painted red
And we shall free you
It's the land of honey, the land of pain
The city walls give in to faith
The golden sands were painted red
And we shall free you from your chains","gothic metal, doom metal, dark metal",gothic metal,doom metal,dark metal
/moonspell/,Vampiria,"Vampiria, you are my destiny
My only Love and true destiny
Vampiria...

You're a beast, evil one
Above your head lays a Star
In your heart is buried the jewel
of a Serpent who wished to die
your red long tongue has her poison
And you will spread it as you breed
Conceiving the creed of all creeds

Vampiria, fly Vampiria

In your eye burn, defying
All those who in silence sleep
In a city once named Desire
Dreaming with the entombed dear

The lady has fallen in a blossom
Spread far away by undesirable winds
To females conspiring in gloom
Hiding your pearls from the pigs

So open your arms!
They were shaped as wings
A serenade of revenge draw on your lips

The sombre hill you're staying in
Is now defined
And your Star had start to shine

Depart now on your bright wings
The world envy
The skies have always seduced you
Precious Queen
and you know your time has come
To fly away with Me, so far...
","gothic metal, doom metal, dark metal",gothic metal,doom metal,dark metal
/moonspell/,Soulsick,"I am only real at places I can not be

My right hand rebels and chops off the left
(the) hairy ape walks into stage
he tries to stay erect

the one who never slept
in order to be perfect
the arrogance of their hands
the joy of the regret

soulsick - good at things I never did

soulsick but skindeep, tense, frantic but relieved
soulsick but skindeep, tense, frantic but believed

I am only real at places I can not be
Dead liquid vigilant
Implanted into my sleep

The one who never slept
The one who stays erect
The one who is profound
The one I do reject

soulsick but skindeep, tense, frantic but relieved
soulsick but skindeep, tense, frantic but believed

soulsick - good at things I never did

I am only real at places I can not be

Soulsick but skindeep
I'm not real, just believed in

Soulsick but skindeep
Not real, just believe in
","gothic metal, doom metal, dark metal",gothic metal,doom metal,dark metal
/moonspell/,White Skies,"White skies roar with battle cries
Haters meet, lovers die

And I wait for your touch now
My flesh in yours, and yours in mine
Once again I am raising the blade
This time we face each other

By these hands - untouched
By these lips - unspoken
Every heart - a jewel
Every heart - a stronghold

Skies come down!
White skies roar with battle cries
Haters meet, lovers die

And I wait for your love now
We came so close, too close to turn back
Once again, I have your life in my hands
It's brothers against brothers

By these hands - untouched
By these lips - unspoken
Every heart - a jewel
Every heart - a stronghold

Skies come down!
White skies roar with battle cries
Haters meet, lovers die","gothic metal, doom metal, dark metal",gothic metal,doom metal,dark metal
/moonspell/,...Of Dream And Drama (Midnight Ride),"You've no mother to feed you
or to lick your so deep wounds
nor Earth where to lay your timid crown
You've suffered by your father
and even the Moon lies to you
When she shines...

The seduction of an altar
Is a weakness in her movements of Death
It is a mere vanity of Woman
to delay her midnight ride
Suicide... Midnight ride...

Beautiful dagger you may now leave your case
Wild red tears at the lady's hand
Kissed were her breasts with your sharpened face
Given is now what Love had taken
death and Love, they together danced

Yes, the flames did smile to her
Invited her to their fiery peace
To a funebre dance around a bonfire
Where all Women are naked and alone
Immolating their pride
May they forever ride. Far, in a midnight crime.
Midnight Ride, Suicide, Midnight Ride...
","gothic metal, doom metal, dark metal",gothic metal,doom metal,dark metal
/moonspell/,2econd Skin,"Crawl me into your second skin
and teach me everything

(Second skin)

Through your eyes a voyeur
Through your veils of a visionaire
talk to me about those things
no other soul would care.

(Second skin)

Outcast all the colours that I still have
Camouflage me so I can fall and stand
somewhere between an underrated angel
and all those citizens marked with X-sex.

(Second skin)

Tissue apart and right to the heart
teach me the wonders of your moral blade
so I can stand still when you have to kill
all that was yours before and now has to fade away

Draw me the fine line between religion and crime
You are one more son of a God you can never be wrong
but aren't we all?

As we sit and wait
for the serpent to bite our very own tale
(As I sit and wait
for the serpent to bite my very own tale)

(Second skin)","gothic metal, doom metal, dark metal",gothic metal,doom metal,dark metal
/moonspell/,A Dying Breed,"Can't you see that the curtain has fallen between us?
And that the statues of leavers keep smashing on the burning foy
A sense that is growing behind, the martyr's dying peek
Our live has no meaning, the world forgot about me
We're dying, we've fallen, we're calmly disappearing
We're trying, defining, our sense of right and wrong
It's a dying breed, it's a thing from the past
We're a dying breed

Can't you see that the magic is over, I see it ever started
And how the music we listen keeps fading, she's lost control
The new tribes they gather around the earth's dying core
The new waves are waving, no place for me anymore
We're dying, we've fallen, we're calmly disappearing
We're trying, defining, our sense of right and wrong
It's a dying breed, it's a thing from the past
We're a dying breed

We're dying, we've fallen, we're calmly disappearing
We're trying, defining, our sense of right and wrong
We're dying, escaping, still falling, disappearing
We're trying, defining, our place in the natural order
As a dying breed, just a dying breed
We're a dying breed, we're a thing from the past
We're a dying breed, just a dying breed
Just a dying breed!","gothic metal, metal, doom metal",gothic metal,metal,doom metal
/moonspell/,A Greater Darkness,"A greater darkness for all it's worth
A friend so young who's life was cut
We drink the rain to clear our throats
We drink the poison to make it go

The little mercies above all things
No final act. no final scene
A friend for life and in death too
Forever strong, forever hold, inside our soul

So raise your hands above the waters
We are the thieves in giant shoulders
Se raise your hands, our hearts sink lower
To watch you drown inside the monster

The day now ends and all within
A greater darkness covers everything
Is there no end for such a pain
Is there no hope, no other life no way to know?

So raise your hands above the waters
We are the thieves in giant shoulders
Se raise your hands, our hearts sink lower
To watch you drown inside the monster

So raise your hands inside the monster","gothic metal, doom metal, dark metal",gothic metal,doom metal,dark metal
