artist,song,lyrics,genres,genre_1,genre_2,genre_3
Ivete Sangalo,Careless Whisper,,"axe, female vocalists, brazilian",axe,female vocalists,brazilian
Beyoncé,Bootylicious,,"rnb, pop, female vocalists",rnb,pop,female vocalists
Beyoncé,New Shoes,,"rnb, pop, female vocalists",rnb,pop,female vocalists
Beyoncé,You Changed,,"rnb, pop, female vocalists",rnb,pop,female vocalists
Bruno Mars,There I Go Again,,"pop, rnb, male vocalists",pop,rnb,male vocalists
Rihanna,Disturbia,,,,,
Rihanna,Same Ol' Mistakes,,"covers, cover, pop",covers,cover,pop
50 Cent,50 Shots Ya,,"rap, hip-hop, gangsta rap",rap,hip-hop,gangsta rap
50 Cent,Financial Freedom,,"rap, hip-hop, gangsta rap",rap,hip-hop,gangsta rap
50 Cent,If i Can't (remix),,"rap, hip-hop, gangsta rap",rap,hip-hop,gangsta rap
50 Cent,Remain Calm (Feat. Snoop Dogg & Precious Paris),,"rap, hip-hop, gangsta rap",rap,hip-hop,gangsta rap
50 Cent,We Got The Hood On Smash,,"rap, hip-hop, gangsta rap",rap,hip-hop,gangsta rap
John Legend,Hold On Longer,,"soul, rnb, neo-soul",soul,rnb,neo-soul
John Legend,You Deserve It All,,"christmas, christmas songs, soul",christmas,christmas songs,soul
Michael Jackson,"Elizabeth, I Love You",,"pop, 80s, michael jackson",pop,80s,michael jackson
Michael Jackson,Scream (feat. Janet Jackson),,"pop, dance, 90s",pop,dance,90s
Alicia Keys,Empire State Of Mind (part. Ii),,"soul, rnb, female vocalists",soul,rnb,female vocalists
Alicia Keys,Lala (Unlocked) (feat. Swae Lee),,"soul, rnb, female vocalists",soul,rnb,female vocalists
Alicia Keys,Where do We Begin Now,,"soul, rnb, female vocalists",soul,rnb,female vocalists
Black Eyed Peas,Movement,,"hip-hop, rap, 90s",hip-hop,rap,90s
Whitney Houston,Do You Hear What I Hear?,,"christmas, pop, soul",christmas,pop,soul
Justin Timberlake,Apologize,,"pop, rnb, dance",pop,rnb,dance
Justin Timberlake,Suit and Tie (Rock in Rio),,"pop, rnb, dance",pop,rnb,dance
Akon,Conspiracy,,,,,
