artist,song,lyrics,genres,genre_1,genre_2,genre_3
Regina Spektor,Love Affair,"There was a love affair in this building

The kind of love affair

Which every respectable building must keep as a legend



Slowly festering through an innocent ""by the way""

Or ""have you heard?""

He was perfect except for the fact that he was an engineer

And mothers prefer doctors

And lawyers



Yet despite this imperfection

He was clean-looking and respectable-looking

And you'll never find a mother

Who doesn't appreciate a natural man



So he grew healthy aloe vera plants by the window

Healthy teeth in his mouth

Healthy hair on his head

He grew healthy wavy brown hair on his head

The kind, the kind that babies always go for

With sticky little fingers","female vocalists, indie, piano",female vocalists,indie,piano
Jake Bugg,All That,"I was a man

Who lifted his head

When times are hard, 

they grow holding in back from all that



When I was in New York

I met a girl

Left all her friends 

and she's running away from all that



She ain't got worries

She lives by the ocean

And she's got all that

The one who is all that

Yeah, she's got all that



When I was in L.A.,

She drifted away

She spoke of freedom, fame and all that

She ain't got worries

She lives by the ocean

And she's got all that

The one who is all that

Yeah, she's got all that

Yeah, she's got all that","all that, sad, jake bugg",all that,sad,jake bugg
Joni Mitchell,Woman Of Heart And Mind,"I am a woman of heart and mind

With time on her hands

No child to raise

You come to me like a little boy

And I give you my scorn and my praise

You think I'm like your mother

Or another lover or your sister

Or the queen of your dreams

Or just another silly girl

When love makes a fool of me



After the rush when you come back down

You're always disappointed

Nothing seems to keep you high

Drive your bargains

Push your papers

Win your medals

Fuck your strangers

Don't it leave you on the empty side

I'm looking for affection and respect

A little passion

And you want stimulation-nothing more

That's what I think

But you know I'll try to be there for you

When your spirits start to sink



All this talk about holiness now

It must be the start of the latest style

Is it all books and words

Or do you really feel it?

Do you really laugh?

Do you really care?

Do you really smile

When you smile?

You criticize and you flatter

You imitate the best

And the rest you memorize

You know the times you impress me most

Are the times when you don't try

When you don't even try",,,,
Joni Mitchell,Lead Balloon,"""Kiss my ass!"" I said

And I threw my drink

Tequila trickling 

Down his business suit

Must be the Irish blood

Fight before you think

Turn it now

You can't cowtow

You can't undo it



It's his town

And that went down

Like a lead balloon

Lead lead lead lead balloon

He said ""Sic her, Rover""

That went over 

Like a lead balloon

Lead lead lead lead balloon

Lead balloon



An angry man is just an angry man

But an angry woman

Bitch!

I had to ask him for a helping hand

It came with the heart

Of a Bonaparte

Of a frozen fish



It's his town

And that went down

Like a lead balloon

Lead lead lead lead balloon

He said ""Sic her, Rover""

That went over

Like a lead balloon

Lead lead lead lead balloon

Lead balloon



Lead balloon, lead lead lead lead balloon

Lead balloon, lead lead lead lead balloon

Lead balloon, lead lead lead lead balloon

Lead balloon



It's his town

And that went down

Like a lead balloon

Lead lead lead balloon

He said ""Sic her, Rover""

That went over

Like a lead balloon

Lead lead lead lead balloon

Lead balloon

Lead lead lead lead balloon

Lead lead lead lead balloon

Lead balloon","folk, singer-songwriter, female vocalists",folk,singer-songwriter,female vocalists
Joni Mitchell,Urge For Going,"I awoke today and found the frost

perched on the town

It hovered in a frozen sky, then it

gobbled summer down

When the sun turns traitor cold and all 

the trees are shivering in a naked row



I get the urge for going

But I never seem to go

I get the urge for going 

When the meadow grass is turning brown

Summertime is falling down and winter

is closing in



I had me a man in summertime

He had summer-colored skin

And not another girl in town 

My darling's heart could win

But when the leaves fell on the ground

Boy winds came around, pushed them face

down in the snow



He got the urge for going

And I had to let him go

He got the urge for going

When the meadow grass was turning brown

Summertime was falling down and winter

was closing in



Now the warriors of winter they gave a 

cold triumphant shout

And all that stays is dying and all that

lives is camping out

See the geese in chevron flight flapping 

and racing on before the snow



They got the urge for going

And they got the wings so they can go

They get the urge for going

When the meadow grass is turning brown

Summertime is falling down and winter

is closing in



Apply the fire with kindling now

I'll pull the blankets up to my chin

I'll lock the vagrant winter out and

I'll fold my wandering in

I'd like to call back summertime

Have her stay for just another 

month or so



But she's got the urge for gong

So I guess she'll have to go

She gets the urge for going

When the meadow grass is turning brown

All her empire's falling down

And winter's closing in

And I get the urge for going

When the meadow grass is turning brown

And summertime is falling down","folk, singer-songwriter, female vocalists",folk,singer-songwriter,female vocalists
Dropkick Murphys,10 Years Of Service,"The status of our future in both past and present time,

is relegated to a member of a higher class than mine.

To determine and direct the lives of family men who bear the burden

of living up to standard that doesn't exist in 1999




[Chorus]
 

Who's gonna save us from this lonely picket line,

10 years of service but I'm still not worth your time.



Times may be changing but I'll never leave behind the hopes

and thoughts I have of better days for families such as mine.

Because if history repeats itself and time will surely tell.

What goes around is gonna come around and you'll know our pain too well.




[Chorus]

Who's gonna save us from this lonely picket line,

10 years of service but I'm still not worth your time.

And I've seen men give their lives,

and heard the stories that they tell of how they labored

for this company which sold it's soul to hell




[Repeat 1st verse]




[Chorus]

Who's gonna save us from this lonely picket line,

10 years of service but I'm still not worth your time.

And I've seen men give their lives,

and heard the stories that they tell of how they labored

for this company which sold it's soul to hell



Who's gonna save us from this lonely picket line,

10 years of service but I'm still not worth your time.",,,,
Dropkick Murphys,Shattered,"Something's gone wrong with the world today

What's the matter with the human race

Everybody's fighting for more power and money

Braveheart's a racist

The paperboy's a junkie



And what's with the role models for all our boys and girls

Anorexic skinny monsters who seem to rule the world

The ball players you loved as a kid are gone

They've been replaced by steroid fed Neanderthals

(Replaced by Neanderthals)



Shattered, shattered, when people aren't always what they seem



It turns out the lyrics that you live by are a fraud

When your favorite band's singer got arrested

With a tranny on the job

Meanwhile little Danny down the block's all alone

He's been abused by the Parish priest

He'd embarrassed and ashamed

Thinks he disgraced the family name

He's gonna buy a gun and settle the score

Then who you're gonna call 

the local cop stalking girls down the mall

Or the world's greatest crooks from the FBI

(The crooks from the FBI)



Shattered, shattered, when people aren't always what they seem

Shattered, shattered, when the ones that we rely on break their word



Shattered, shattered, when people aren't always what they seem

Shattered, shattered, when the ones that we rely on break their word



Dad's never home, he says he's working over time

Meanwhile Mommy's head's in the sand she thinks everything is fine

She says ""Now Dad's important kids, so stay out of his way""

But little did she know that the governor was gay

(She didn't know that the governor was gay)



Shattered, shattered, when people aren't always what they seem

Shattered, shattered, when the ones that we rely on break their word



Shattered! Shattered! Whoa!

Shattered! Shattered! Whoa!

Shattered! Shattered!

When the ones that we rely on break their word!","punk, punk rock, folk punk",punk,punk rock,folk punk
Ray LaMontagne,Like Rock & Roll and Radio,"Are you still in love with me

Like the way you used to be or is it changing?

Does it deepen over time like the river

That is winding through the Canyon?



Are you still in love with her?

Do you remember how you were before the sorrow?

Are you closer for the tears

Or has the weight of all the years left you hollow?



Are we strangers now?

Like the Ziegfeld Gal and the Vaudeville show?

Are we strangers now

Like rock and roll and the radio?

Like rock and roll and radio



I can see you lyin' there

Tying ribbons in your hair and pullin' faces

I can feel your hand in mine

Though were living separate lives in separate places



Are we strangers now?

Like the Ziegfeld Gal and the Vaudeville show?

Are we strangers now?

Like rock and roll and the radio?

Like rock and roll and radio



All these white lies hanging like flies on the wall

Hard wired, road tired

Counting curtain calls and waiting

Waiting for the axe to fall



Are you still in love with me

Like the way you used to be or is it changing?

Does it deepen over time, like the river

That is winding through the Canyon?



Are we strangers now?

Like the Ziegfeld Gal and the Vaudeville show?

Are we strangers now?

Like rock and roll and the radio?

Like rock and roll and radio","folk, singer-songwriter, acoustic",folk,singer-songwriter,acoustic
Jewel,Doin' Fine,"We are what everyone wants to be

We are young

And carefree

Life's a breeze for people like you and me

And if you look

Life lays out just like a road

It's for us to grab a hold

There's no one that can tell us no



Come on, baby

Let's just have fun

Let's breathe stardust into our lungs

Let's drive too fast

Let's go too far

When our hearts bleed, it lets us know we are alive

And that we are doin' fine



We lay down

Look at the sky

From upside down

There's nobody we have to be

Let's live fast and see where it leads



Come on, baby

Let's just have fun

Let's breathe stardust into our lungs

Let's drive too fast

Let's go too far

When our hearts bleed, it lets us know we are alive

And that we are doin' fine



Let's get lost

In love like wine

Let kisses quench

This thirst of mine

Let me feel the weight of your skin

Pressing in



So come on, baby

Let's just have fun

Let's breathe stardust into our lungs

Let's drive too fast

Let's go too far

When our hearts bleed, it lets us know we are

So come on, baby

Let's just have fun

Let's breathe stardust into our lungs

Let's drive too fast

Let's go too far

When our hearts bleed, it lets us know we are



Let's us know that we're alive

That we are... doin' just fine

We are

What everyone wants to be","alternative, pop, female vocalists",alternative,pop,female vocalists
Jewel,Passing Time,,"female vocalists, pop, folk",female vocalists,pop,folk
