artist,song,lyrics,genres,genre_1,genre_2,genre_3
Bee Gees,Suddenly,"How can you tell by looking at me?

How can you tell you like what you see?

Suddenly, there's a boy in the rain alone

Suddenly, there's a girl in the rain alone



Oh yeah, how can you tell humans are real?

How can you tell you like what you feel?

Suddenly, there's a girl in your heart, oh boy

Suddenly, there's a boy in your heart, oh boy



Ah-ah, ah-ah-ah

Ah, ah-ah-ah

Ah-ah-ah

Ah, ah-ah-ah-ah-ah

Ah, ah-ah-ah-ah-ah



Yeah, how can you tell by looking at me?

How can you tell you like what you see?

Suddenly, there's a boy in the rain alone

Suddenly, there's a girl in the rain alone



Ah-ah, ah-ah-ah

Ah, ah-ah-ah

Ah-ah-ah

Ah, ah-ah-ah-ah-ah

Ah, ah-ah-ah-ah-ah

Ah, ah-ah-ah

Ah-ah-ah

Ah, ah-ah-ah-ah-ah

Ah, ah-ah-ah-ah-ah","disco, pop, 70s",disco,pop,70s
Bee Gees,Wouldn't I Be Someone,,"disco, pop, 70s",disco,pop,70s
The Temptations,I Can't Think Of A Thing At All,,"soul, motown, funk",soul,motown,funk
The Temptations,You Better Beware,,"soul, motown, funk",soul,motown,funk
"Earth, Wind And Fire",Let Your Feelings Show,"Woke up Sunday morning,

Feeling out of tune.

Wrapped my eyes around you,

Love came in the room.

Baby, gonna let my feelings show,

Everyday, gonna learn to love you more.



Laughing into midnight,

Lover being my guide.

We approach the morning,

Feeling good inside.

Baby, gonna let my feelings show,

Everyday, gonna learn to love you more.



Paying dues and changes,

Living day to day.

Love is necessary,

To help you find the way.

Baby, gonna let my feelings show,

Everyday, gonna learn to love you more.




[Chorus]

Try not to hide,

What you feel deep inside.

If you care, you must dare,

To be free as the air.



Fairy tales and stories,

That we fail to see.

We will tell the story,

Of reality.

Baby, gonna let my feelings show,

Everyday, gonna learn to love you more.



Tingle in our heartbeat,

Rapture on the cloud.

When softer words are spoken,

Action speaks out loud.

Baby, gonna let my feelings show,

Everyday, gonna learn to love you more.




[Chorus]

Try not to hide,

What you feel deep inside.

If you care, you must dare,

To be free as the air.","funk, soul, disco",funk,soul,disco
Barry White,"Never, Never Gonna Give You Up","Oh, baby

Oh, baby (Keep on)

Come on, baby (Keep on doin' it, right on)

Mmm, mmm, mmm (Right on doin' it)

You got it together (Baby, keep on)

Oh, you got it together, baby (Right on, keep on doin' it)

Not yet, baby, oh, not yet

Mmm, mmm (My-my baby, keep on)

I swear you got it together, baby (Keep on, keep on)



Whatever, whatever

Girl, I'll do

Forever and ever, yeah, yeah, yeah, yeah

I'll see you through



I've got to keep you pleased

In every way I can

Gonna give you all of me

As much as you can stand



Make love to you right now

That's all I want to do

I know you need it, girl

And you know I need it, too



'Cause I found

What the world is searching for

Here, right here, my dear

I don't have to look no more



And, oh, my babe

I hoped and I prayed

For someone just like you

To make me feel the way you do



Never, never gonna give you up

I'm never, ever gonna stop

Not the way I feel about you

Girl, I just can't live without you



I'm never, ever gonna quit

'Cause quittin' just ain't my stick

I'm gonna stay right here with you

Do all the things you want me to



Whatever you want

Girl, you got

And whatever you need

I don't want to see you without it



You've given me much more

Than words could ever say

And oh, my dear, I'll be right here

Until my dyin' day



I don't know just how to say

All the things I feel

I just know that I love you so

And it gives me such a thrill



'Cause I found

What this world is searching for

Here, right here, my dear

I don't have to look no more



And all of my days

I hoped and I prayed

For someone just like you

To make me feel the way you do



I'm never, never gonna give you up

I'm never, ever gonna stop

Stop the way I feel about you

Girl, I just can't live without you



I'm never, ever gonna quit

'Cause quittin' just ain't my stick

I'm gonna stay right here with you

Do all the things you want me to



Oh, I'm never gonna give you up

I'm never, ever gonna stop

All the things I feel about you

Girl, I just can't live without you



I'm never, ever gonna quit

'Cause quittin' just ain't my stick

I'm gonna stay right here with you

Do all the things you want me to","soul, 70s, funk",soul,70s,funk
Diana Ross,Can I Go On?,"Lose it?

Lose it?

I don't even know the first thing

About what they're feeling

What am I afraid of?

Don't know what I'm made of

Can I go on

Not knowing?



Feeling?

Feeling?

Something tells me

That it's more than I can deal with

Though I never knew the song

Some words still catch on

Like caring and sharing

Being together no matter



Can I go on

Not knowing?

Don't know what I'm made of

Why am I afraid of feeling?

Feeling?

If I dare to take a chance

Would someone lead me?","the wiz, soul, disco",the wiz,soul,disco
Diana Ross,It's Hard For Me To Say,"Didn't know 'till today

That you would love for me to say

All of the things I feel

Though you don't doubt they're real



Insecure, very shy

Are the only reasons I have why

I never say the things that

You would love to hear

All the words I try

Disappoint me and I cry

So they're words I don't often say



But it's in my love, it's in my feeling

It's in the very same heart

That loved you from the start

It's in my heat, it's in the spirit

And it's got me totally high

It's just hard me to say why



Kind of sad, kind of blue

Because I wanted to tell you

That you are in my heart

Though we are far apart

Didn't know how to say

All the little things to make you stay

And not to keep assuming

You could read my mind



You're the one I love

Though it's hard for you to know

'Cause the words I don't always say



But it's in my love, it's in my feeling

It's in the very same heart

That loved you from the start

It's in the heat, it's in the spirit

And it's got me totally high

It's just hard me to say why



It's hard for me","soul, pop, influential",soul,pop,influential
Diana Ross,Strange Fruit,"Southern trees bear a strange fruit

Blood on the leaves and blood at the roots

Black bodies swingin' in the southern breeze

Strange fruit hangin' from the poplar trees



Pastoral scene of the gallant south

The bulging eyes and twisted mouth

Scent of magnolias sweet and fresh

And the sudden smell of burning flesh



Here is the fruit

For the crows to pluck

For the rain to gather

For the wind to suck

For the sun to rot

For the tree to drop



Here is a strange and bitter crop","soul, disco, pop",soul,disco,pop
K.C. And The Sunshine Band,Get Down Tonight,"Baby, baby, let's get together

Honey, honey, me and you

And do the things, ah, do the things

That we like to do



Oh, do a little dance, make a little love

Get down tonight, get down tonight

Do a little dance, make a little love

Get down tonight, get down tonight



Baby, baby, I'll meet you

Same place, same time

Where we can get together

And ease up our mind



Oh, do a little dance, make a little love

Get down tonight, whoo, get down tonight, hey

Do a little dance, make a little love

Get down tonight, get down tonight, baby



Oh, do a little dance, make a little love

Get down tonight, whoo, get down tonight, hey

Do a little dance, make a little love

Get down tonight, whoo, get down tonight, baby



Get down, get down



Get down, get down, get down, get down, get down tonight baby

Get down, get down, get down, get down, get down tonight baby

Get down, get down, get down, get down, get down tonight baby

Get down, get down, get down, get down, get down tonight baby

Get down, get down, get down, get down, get down tonight baby

Get down, get down, get down, get down, get down tonight baby",,,,
