artist,song,lyrics,genres,genre_1,genre_2,genre_3
Meek Mill,Lean Wit It,"[Verse 1]

Uh, In the kitchen goin ham again

Fuckinâ with dem birds like Cam and them

Iâll tell you whatâs the word when the tan is in

We dem niggas on the curb with dem hammers and

Whole brick throw it on a triple beam

It get hectic we gonâ stretch it like a limousine

Ainât no question if I touch it then itâs Mr.Clean

I be reppin in yoâ section me my nigga Keem

Ghost boys, in a ghost nigga

I burn bread I ainât talkin toast nigga

Whole team of killers, Iâm the coach nigga

Presidential on my wrist, now take ya votes nigga

Rookie of the year, cookies in the rear

I got some bad bitches thatâll get it there

If you donât wanna get it we gon send âem there

If itâs heavy then Omelly comin in a Lear

Bricksquad, like Waka and dem

If its gucci like D.Howard get a block for dem

I donât touch I just leave it up to Tock and dem

Meek Mill started wasnât chopper we was poppin den




[Hook]

Lean wit it, rock wit it

Throw some bake up in the pot wit it

Microwave or we gon pop whip it

When it get right we drop that ice and make it lock wit it

I tell em lean wit it, rock wit it

Throw some bake up in the pot wit it

Microwave or we gon pop whip it

When it get right we drop that ice and make it lock wit it, Ughh!




[Verse 2]

I made a million off a mixtape

Nigga get ya shit straight

Iâm sellin that raw shit, you sellin that weak weight

Cookinâ up a whole bird until I make my wrist ache

When I pulled up to the club you shouldâve seen ya bitch face, Ughh!

Fitfy cash in my pocket

Nigga, I got the stash in my pocket

Iâm blowin money fast in my pocket

Said its lookin like I got Nicki ass in my pocket

Talkin Ass Ass Ass Ass, all I get is cash cash

Club lit my last tag, couldâve bought a fast Jag

The way these bitches wavinâ at me, you would think a cab passed

Wondered why u hatin on me, nigga wit âcho mad ass

Rollie on me cost a whole brick

Killers with me ainât go no pics

These groupie bitches ainât got no sense

So we make a movie on them bitches no script




[Hook]




[Verse 3]

Thirty-six treat it like a dirty bitch

Cuz I hit it and then send it to the other strip

Call me anything donât call me by my government

Cuz when Iâm out âchea in the jungle we be sellin bricks

Half these niggas in my hood be on some tellin shit

We be on some if you snitchin crack ya melon shit

If I ainât rockin with the Smith its Parabellum shit

Papi bring âem on the boat they know we sellin shit

Lean wit it, rock wit it

Posted Mac. 11 in the lot wit it

Seven fifty gettinâ busy wit a box in it

So when they pull us over they donât find dem Glocks in it




[Hook]","rap, hip-hop, hip hop",rap,hip-hop,hip hop
Meek Mill,Won't Stop,"[Hook:]

I won't stop until ah, I get get get a (a billion, a billion, a billion, a billion.)

I won't stop until ah, I get get get a (a billion, a billion, a billion, a billion.)

I won't stop until ah, I get get get a (a billion, a billion, a billion, a billion.)

I won't stop until ah, I get get get a (a billion, a billion, a billion, a billion.)




[Verse 1: Meek Mill]

I'm going to get it from the muscle

When they ask my motivation I say struggle

Cause when your dead broke them haters will start to love you

The women don't really hate you they never think nothing of you

But I'm a make 'em love me! Until the day that I die

Swag on a hundred I'm so fly I bought a place in the sky

Like the Jetsons

I'm destined

To do it like the best did

If shit stink

Then I really think I must have stepped in a pile of it

Bullshit, I done walked a mile of it

Took a broker home and made smile of it, really though

Benjamin's and Jackson's

Grant's down to old George

On my mind like everyday

So you know I'm a go for it

Homie say he use to get it

What he got to show for it

Little bit of money from the jury that he sold for

No navigation

I'm just driving on the road for

Billion dollar life style

'Til they turn my lights down




[Hook:]

I won't stop until ah, I get get get a (a billion, a billion, a billion, a billion.)

I won't stop until ah, I get get get a (a billion, a billion, a billion, a billion.)

I won't stop until ah, I get get get a (a billion, a billion, a billion, a billion.)

I won't stop until ah, I get get get a (a billion, a billion, a billion, a billion.)




[Verse 2: Meek Mill]

Billion dollar dreams

And hundred dollar nightmares

Success is in my arm reach

I can see it right there

I just got to grab it

But I'm stuck in traffic

Still on probation but I'm clutchin' on that 'matic

Cops catch me with it, judge gon' give me somethin' tragic

But these haters, they gon' kill me if I don't have it, just pray for me

Money, dreams, comin' now, Homie screamin' wait for me

I'm telling him, hurry up they trying to close this gate on me

Get money or die

I never thought I'd see the day my dreams comin' alive

When I was locked inside a cell I had a run in with God

He told never look back, I never known him to lie. So I did it

I got with it, started grinding and shining

Had to take a sacrifice ain't have no time for the crying like let's get it

Now I got it and I'm livin' my life

They throwing shade cause I'm livin' the life. Yeah!




[Hook:]

I won't stop until ah, I get get get a (a billion, a billion, a billion, a billion.)

I won't stop until ah, I get get get a (a billion, a billion, a billion, a billion.)

I won't stop until ah, I get get get a (a billion, a billion, a billion, a billion.)

I won't stop until ah, I get get get a (a billion, a billion, a billion, a billion.)

Get get get a...","tumblr, hip-hop, rap",tumblr,hip-hop,rap
Aaliyah,I Can Be,"Whoa-no

Oh-whoa

No, no

Oh-whoa, oh-no



Maybe I'm just wrong, feeling the way I do

Thoughts indecent, want to propose them to you

I know you have a girl, I don't want to tie

When you're free one night, just make those hours mine



I can be the other woman in your life

I can be the other reason you're out at night

I can be all the things you thought she might

I can be on the side that would be alright, alright, alright



Love just ain't my thing, the half of you might be

Enough for two or more, no hurting me indeed

Fine like expensive wine, drunk off one glass of you

I think more might be too much so weekends for me are cool



I can be the other woman in your life

I can be the other reason you're out at night

I can be all the things you thought she might

I can be on the side that would be alright, alright, alright



I can be the other woman in your life

I can be the other reason you're out at night

I can be all the things you thought she might

I can be on the side that would be alright, alright, alright



Alright

Alright

Alright","rnb, 00s, soul",rnb,00s,soul
Aaliyah,Young Nation,"Young nation under a groove

Keepin' it smooth with a jazz attitude

Young nation under a groove

Keeping it smooth



Young nation under a groove

Keepin' it smooth with a jazz attitude

Young nation under a groove

Keeping it smooth



As I'm strolling down the block with really nothing on my mind

Laid back and I'm just thinking of old times

Pop in a Isley Brothers tape and I'm maxing

Peeping through my side view, checking out my waxing

Hey, I gotta say

Today's a good day for me to live around the way (ho)

Time to hit the 6-4

And pump the bass at 'em just to let 'em know

Aaliyah's in the house, so I think you'd better check my flow

Hello, hello

I'm the young nation and young nation is me

So here we go, from the 1 the 2 and 2 the 3



Young nation under a groove

Keepin' it smooth with a jazz attitude

Young nation under a groove

Keeping it smooth



Young nation under a groove

Keepin' it smooth with a jazz attitude

Young nation under a groove

Keeping it smooth



I check my cellular because my beeper's beeping

Booty calls are creeping, fellas on the corner peeping

Me (wassup); time to set it off

And so I pick up my girls and hit the strip just because

Jazz array hey, it's Saturday and

The sun is blazing, it's so amazing

And if you are a YNP

And you're rolling with the BGE

Congratulations

I know I got the skills to make you trip

R Kelly's flipping tracks, so grab a hold and don't you slip

The negative young nation that steps to me gets dealt with

So raise your hands if you're sure

Are you a young nation?



Young nation under a groove

Keepin' it smooth with a jazz attitude

Young nation under a groove

Keeping it smooth



Young nation under a groove

Keepin' it smooth with a jazz attitude

Young nation under a groove

Keeping it smooth



Well, 6 o' clock rolls around and now I'm stepping

Stop to get some dressing, to the mall I'm flexing

You know to get them funky croaka-sacks

Tonight I'm hitting the town, ain't holding nothing back

Hey, well alright

Tonight is the night

Well I'm in the mood for celebration

Or even some jazzy conversation

Hey, it's okay

Here I come, so make way

I'm the young nation and young nation is me

So here we go from the 1 the 2 and 2 the 3



Young nation under a groove

Keepin' it smooth with a jazz attitude

Young nation under a groove

Keeping it smooth



Young nation under a groove

Keepin' it smooth with a jazz attitude

Young nation under a groove

Keeping it smooth



Young nation under a groove

Keepin' it smooth with a jazz attitude

Young nation under a groove

Keeping it smooth



Young nation under a groove

Keepin' it smooth with a jazz attitude

Young nation under a groove

Keeping it smooth



Young nation under a groove

Keepin' it smooth with a jazz attitude

Young nation under a groove

Keeping it smooth



Young nation under a groove

Keepin' it smooth with a jazz attitude

Young nation under a groove

Keeping it smooth



Young nation under a groove

Keepin' it smooth with a jazz attitude

Young nation under a groove

Keeping it smooth



Young nation under a groove

Keepin' it smooth with a jazz attitude

Young nation under a groove

Keeping it smooth



Hey, it's a great day

The lover on the way

Young nation","r&b, rnb, soul",r&b,rnb,soul
Nicole Scherzinger,Heartbeat (Rudi Wells' Open Heart Remix),"Heartbeat

Heartbeat Heart-heartbeat

Heartbeat

Heartbeat

Heartbeat Heart-heartbeat



I saw you talking on the phone

And know that you were not alone

But you stealing my heart away

Yeah you're stealing my heart away



You're acting like you're on your own

But I saw you standing with a girl (hmmm)

Stop tryin' to steal my heart away

Stop tryin' to steal my heart away



I don't know where we going?

I don't know who we are?



I can feel your heartbeat

I can feel your heartbeat (he said to me)

I can feel your heartbeat (running through me)

Feel your heartbeat

She said

I can feel your heartbeat (she said to me)

I can feel your heartbeat (she said to me)

I can feel your heartbeat (running through me)

Your heartbeat, feel your heartbeat



Maybe it's the way you move

You got me dreaming like a fool

That I could steal your heart away

I could steal your heart away



No matter what it is you think

I'm not the kind of girl to break

And give my heart away

Stop trying to steal my heart away



I don't know where we going?

I don't know who we are?



I can feel your heartbeat (he said to me)

I can feel your heartbeat (he said to me)

I can feel your heartbeat (running through me)

Your heartbeat

Feel your heartbeat

She said

I can feel your heartbeat (she said to me)

I can feel your heartbeat (she said to me)

I can feel your heartbeat (running through me)

Feel your heartbeat



Stop stealing my heart away

Stop stealing my heart away

Stop stealing my heart away

You're stealing my heart away



I don't know where we're going

I don't know who we are

It feels like we are flowing

High above the stars, stars, the stars, the stars, the stars



I can feel your heartbeat (he said to me)

I can feel your heartbeat (he said to me)

I can feel your heartbeat (running through me)

Your heartbeat

Feel your heartbeat



Stop stealing my heart away (Just tell it to me girl)

Stop stealing my heart away (Ooo) (Give it to me boy)

Stop stealing my heart away

Your heartbeat, your heartbeat","pop, rnb, female vocalists",pop,rnb,female vocalists
Stevie B,Because I Love You,,"pop, easy listening, 90s",pop,easy listening,90s
Birdman,100 Million Dollars,,"hip-hop, rap, dirty south",hip-hop,rap,dirty south
Birdman,Out The Ghetto,"[Baby Talking:]

Yea Nigga Right Now Im On Stunna Island Nigga Blowin Out The Pounds Nigga Fast Money Cash Money Nigga Got Bout A Mill Under The Mattress Bout 5 Mill In The Wall Nigga No What Im Saying Me In My Homie Hot Bezzle Nigga G'd Up To The Feet Up In By The Way

That's The Lil Homie Choppa Bitch




[Choppa:]

You Can Take The Nigga Out The Ghetto But You Cant The The Ghetto Out Of Me Bitch Ima G I Gotta Eat On The Streets Survive Imma Die On The Steets Imma G Uptown Yea We Getting Down Shit Was Kina Hard From Me When I Lost My Moms Im The Murder Man How You Loving That Ride'n Thru A Drive By In A Mayback On 22's Gleaming Think The Bemmer Aint Beamin Man Baby We Bling'n We Keep It Hood Rich On Some Other Shit Yall Kno We Getting Rich Over Here Ah Baby Its My Year To Bang It From The Bottom To The Top Its My Year You Can Take The Nigga Out The Ghetto But You Cant The The Ghetto Out Of Me Bitch Ima G I Gotta Eat On The Streets Survive Imma Die On The Steets Imma G




[Baby:]

On The Real For Real My Nigga On The Real My Nigga We Been Bout This Hustle Since 94 A 100 Mills The Deal My Nigga Project Skillz My Nigga We Got This Game Here From Off The Flo We Spin Corners For Real 1100 Catena My Nigga When We Out Here Pimpin Hoes We Get It How We Live My Nigga 10mill On The Crib My Nigga We Been Moving Birds On The Low We Stay Strap With The Mac In The Lack Nigga Since 85 Nigga Been Getting Stacks Nigga I Never Change On Nigga Bounce Back Gave The Lil Homie Game In The Nigga He Gave It Right Back Nigga Im From The Grounds The Niggas Call Uptown In Cash Money Is The Life Blowin Out The Pounds




[Choppa:]

Mayback On 22's Gleaming Think The Bemmer Aint Beamin Man Baby We Bling'n We Keep It Hood Rich On Some Other Shit Yall Kno We Getting Rich Over Here Ah Baby Its My Year To Bang It From The Bottom To The Top Its My Year You Can Take The Nigga Out The Ghetto But You Cant The The Ghetto Out Of Me Bitch Ima G I Gotta Eat On The Streets Survive Imma Die On The Steets Imma G

I Gotta Eat On These Streets Live Are Die On These Streets Get Down On These Streets Survive On These Streets C'mon C'mon C'mon C'mon C'mon You Can Take A Nigga Nigga Out The Ghetto But You Cant Take The Ghetto Outta Me",,,,
B2k,Feel This Way,"[Chorus]

Why, why would you make me feel this way

Make me feel like we would never separate

Make me feel like you want to be my girl

But knowing you only wanted to be friends



""Like best friends"" were the words you said to me

Got me wondering to myself how could this be

They way we touched. was more than a fantasy

Just knew that what we had was more reality

My wifey is who I thought you'd be

Maybe one day raise a C-H-I-L-D

Broke my heart when you didn't wanna be with me

And all this time I was a fool in L-O-V-E




[Chorus]

Why, why would you make me feel this way

Make me feel like we would never separate

Make me feel like you want to be my girl

But knowing you only wanted to be friends



Why, why would you make me feel this way

Make me feel like we would never separate

Make me feel like you want to be my girl

But knowing you only wanted to be friends



Beautiful, baby that was you and I

Now everyday I got to sit and wonder why

The way we kissed, got a feeling deep inside

What I'm hearing girl, it has to be a lie

How can you, just keep me to the side

You never even gave this thing a T-R-Y

Don't understand these feelings you try to hide

Now all the sudden you been actin f-u-n-n-y

(omit)



How could you do this to me

You led me to believe you want me

Now I cant change how I feel inside

Girl tell me why




[Chorus]

Why, why would you make me feel this way

Make me feel like we would never separate

Make me feel like you want to be my girl

But knowing you only wanted to be friends



Why, why would you make me feel this way

Make me feel like we would never separate

Make me feel like you want to be my girl

But knowing you only wanted to be friends



Oh yea

Baby

You wanted me...You wanted me




[Chorus]

Why, why would you make me feel this way

Make me feel like we would never separate

Make me feel like you want to be my girl

But knowing you only wanted to be friends



Why, why would you make me feel this way

Make me feel like we would never separate

Make me feel like you want to be my girl

But knowing you only wanted to be friends



Why, why would you make me feel this way

Make me feel like we would never separate

Make me feel like you want to be my girl

But knowing you only wanted to be friends","rnb, hip-hop, pop",rnb,hip-hop,pop
B2k,What A Girl Wants,"[Omarion Talking]

Yo..I dont know whats goin on but I do know one thing..you gotta make it right..aight




[Omarion Verse 1]

Man whats goin on wit you

Why you treat her like ya do

When you know the girl is all about you..tell me

Why you always lose ya head

Should find a betta way to handle it

You need to stop this game befo you mess around and lose

(Im just tryna help you)

What A Girl Wants




[Chorus]

What a girl wants

What a girl needs

What a girl wants

What a girl needs

A guy to be there for her

What a girl needs

What a girl wants

What a girl needs

What a girl wants

Honesty, Love and a Friend




[Omarion Verse 2]

You always comin down on her

Why

using all those foul words

Why

When you know that she'll do anything for you tell me

Why you always lie to her

And doin things she dont deserve

Man if you don't stop then she'll end up leaving you

(Im just tryin to help you..I know what)




[Chorus]

What a girl wants

What a girl needs

What a girl wants

What a girl needs

A guy to be there for her

What a girl needs

What a girl wants

What a girl needs

What a girl wants

Honesty, Love and a Friend




[Hook]

You dont know what ya got

Till its gone

And you left

All alone

And she'll be up and out the door

And I'll be right there to say I told you so

No more you had your chance

Take a hike

Shoulda been a man

Now she's gone

All because you were doin wrong

Shoulda listened to me




[Chorus]

What a girl wants

What a girl needs

What a girl wants

What a girl needs

A guy to be there for her

What a girl needs

What a girl wants

What a girl needs

What a girl wants

Honesty, Love and a Friend




[Omarion]

Yo..wassup ladies Im Omarion,Im a scorpio and I know what a girl needs

aight..yea




[JBoog]

Yo wassup ladies this is JBoog,and Im a leo..yea and I know exactly what it is..that a girl wants..believe dat..yea




[RazB]

Yo..this Raz,and Im a gemini,and I know exactly..what a girl wants... come holla at me




[Lil Fizz]

Yo Yo..wassup ladies this Lil Fizz,and Im a sag.,and I know all the things that a girl needs..ya heard..aight lets go fellas




[Chorus]

What a girl wants

What a girl needs

What a girl wants

What a girl needs

A guy that will be there for her

What a girl needs

What a girl wants

What a girl needs

What a girl wants

Is a guy whose gonna be right there for her as a friend and somebody she can talk to




[Until Fade]

What a girl wants

What a girl needs

What a girl wants

What a girl needs","slow jams, rnb, sweet",slow jams,rnb,sweet
