artist,song,lyrics,genres,genre_1,genre_2,genre_3
Meek Mill,Letter To Nipsey (Feat. Roddy Ricch),,"meek mill, roddy ricch, hip-hop",meek mill,roddy ricch,hip-hop
Meek Mill,Pullin' Up (Feat. The Weeknd),,"hip-hop, rap, hip hop",hip-hop,rap,hip hop
Meek Mill,Ya'll Don't Hear Me (Freestyle),"Yeah, Philly in this bitch!

Loso waddup?




[Meek Mill:]

Check me,

I from the city where the skinny niggas ride

Where a Semi.45 would make the biggest niggas fold up, roll up

I done seen the realest niggas froze up

When that Mack squeezing hollows leave your back

Leaking that, act decent if you want to, everytime I come through,

Everybody whispering, talking what gon do

Hundred grand in straight cash

Make me put it on you and have your own homies tryna swarm you

I'm sworn to riding with this Glock.40

And I got it on, too

They tell me to put it down

But they don't know what I'm going through

Niggas playing checkers and it's chess

So what's a pawn to a king that got his money right?

You niggas on a hunger strike

When I was dead-broke, man, I used to grind a hundred a nights

A hundred day, selling white, I tell you it ain't nothing nice

I be going so hard, man I don't see my son at night

Baby mama bitching, I'm just trying to get my young'un right

Started with a dollar to a half a ticket

And I just signed my deal today

For all you rapping niggas. Money ain't a joke

You see me laughing niggas?

All my goonies they ain't talking, they just clapping niggas

You gonna think my dogg a roofer, brought a ladder with him

My other homie a mechanic, got his ratchet with him

And they shooting for real, they shooting to kill

I got some homies up state, they doing the wheel

I remember niggas shooting for dear life

30 years on us, cops pull with the red lights

We riding with them hammers

Know a couple young'uns that died before their grandma

I'm not trying to play with hammers

A lot of niggas fronted back when I was in the slammer

But now I got that paper in and I be going bananas

Like Tony Montana, Nino and the Carter got me leaning even harder

With this Nina in my cargoes

I can't meet 'em any farther

If the niggas want the work

Tell 'em meet me out North, 20-something in Berks

Used to be with 50 niggas, 20 of 'em got murked

20 done turned pussy, the other 10 put in work

Yeah! I'm screaming ""this is the life""

If you ain't hooping then you whipping the white

They even hitting the pipe

I talked to 'em try to give them advice

Niggas get left, they wasn't living too right...

Yea! Niggas get left, they wasn't living too right



Y'all don't really hear me tho...","hip-hop, rap, hip hop",hip-hop,rap,hip hop
Aaliyah,Choosey Lover (Old School/New School),"Choosey lover

Boy I'm so proud of you

I'm so glad you chose me, baby (Baby)

And I'll make you so happy



(Thought I had a lover)

Thought I had a lover

But I was kidding myself, baby

(By the time I learned about it)

By the time I learned the truth about it

He was sleeping with someone else

But not you baby



Choosey lover

Boy I'm so proud of you

I'm so glad you chose me, baby (Baby)

And I'll make you so happy



'Cause you're giving me (Giving me security)

Giving me security, baby

And you've proven what you said (Oh)

(I never worried about you)

Never worried about you baby

Jumping in and out of bed

Oh, but not my baby



Choosey lover (You're so choosey)

Boy I'm so proud of you

I'm so glad you chose me, baby

And I'll make you so happy

Choosey lover (You're so choosey)

Boy I'm so proud of you

I'm so glad you chose me, baby

And I'll make you so happy

Choosey lover (You're so choosey)

Boy I'm so proud of you

'M so glad you chose me, baby

And I'll make you so happy



Choosey lover

Boy I'm so proud of you

I'm so glad you chose me, baby

And I'll make you so happy



Thought I had a lover

But I was kidding myself, baby

By the time I learned about it

He was sleeping with someone else

Baby, baby, baby



Choosey lover

Boy I'm so proud of you

I'm so glad you chose me, baby

And I'll make you so happy



'Cause you've given me, given me security

Giving me security, baby

Yeah you've proven what you said

See I never worry about you

Jumping in and out of bed



Choosey lover

Boy I'm so proud of you

I'm so glad you chose me, baby

And I'll make you so happy",,,,
Aaliyah,I Care 4 U,"Mm, yeah

No-no-no-no-no

Yeah, oh



Hey, my baby, why you lookin' so down?

Seems like you need a lovin'

Baby, you need a girl like me around

Hey, my baby, tell me why you cry

Here take my hand and (Yeah, mm)

Wipe those tears from your eyes



Can I talk to you (Can I talk to you?)

Comfort you (Oh)

Let you know (Just wanna let you know)

I care for you

Can I talk to you? (I wanna talk)

Comfort you (Gotta let you know, baby)

Let you know (I wanna let you know)

I care for you



Hey, sexy baby, why'd your girl leave you in pain?

To let a fine man like you go, she must be insane

Hey, sexy baby, there's no need to worry, no

Oh, boy, if you call on me

I'll come, I'll come in a hurry



Can I talk to you (Come on, no)

Comfort you (I love you)

Let you know (Oh, baby)

I care for you

I love you, yes, I do

Can I talk to you (I wanna talk, no)

Comfort you (Give me a chance)

Let you know (Wanna let you know, gotta let you know)

I (That I) care for you (Love you, yeah)



Hold on (Hold on)

Stay strong (Stay strong)

Press on (For me, baby)

I care (I care) for you (For you)

Hold on (Hold on)

Stay strong (Stay strong)

Press on (Press on for me)

I care for you (Baby)



Can I talk to you? (I wanna talk)

Comfort you (I wanna hold you tight, baby)

Let you know (I wanna let you know)

I care for you (That I care for you)

Can I talk to you?","rnb, aaliyah, soul",rnb,aaliyah,soul
Aaliyah,Night Riders,,"rnb, soul, female vocalists",rnb,soul,female vocalists
Nicole Scherzinger,Baby Love (feat. will.i.am),,"pop, nicole scherzinger, rnb",pop,nicole scherzinger,rnb
Nicole Scherzinger,Break Yo Chest,,"pop, rnb, female vocalists",pop,rnb,female vocalists
Nicole Scherzinger,Heartbreaker,"Never thought that I would live to find another love like mine

Time

Never thought that I could be in a place to ever see it

See it fly high




[Chorus:]

I need that heartbreaker

I need something to lose

I need that breathtaker

When it's gone, it leaves a bruise

Break my heart

Break my heart, yeah

Break my heart

Give it to me good

Break my heart



I wanna wake up in the morning

Appear you've moved on like a stone

In the middle of the night, I see you

Missing from my arms

Where have you gone?

Look what you've done

So I sit up in this bed and I imagine where you're at

All this playing games with love, I think this time I've met my match

What have I done?

Where have you gone?

See I love it when you take that part of me

It's intoxicating, I can barely breathe

Yes, I love you when you do these things to me

See, baby, see




[Chorus]



What is love? What is love?

What is love? It's up in the air

It's neither here nor there

Spare me the time to explain it

I just know how it feels

Too much of it can kill

When not enough of it is real

Just enough of it can heal




[Chorus]



Break my heart

Break my heart

Ooh, show me that it's real

Yeah, I love how it feels","pop, rnb, female vocalists",pop,rnb,female vocalists
Nicole Scherzinger,Psycho,,"pop, rnb, female vocalists",pop,rnb,female vocalists
Stevie B,Spring Love,"I remember when we first started

You came to me and you were broken hearted

I took you in and wiped all your tears away

I gave you loving more than any other gave

Don't you know I'm the one and I love you girl

I don't care what they say you know you are my world

Come back home to the one

Who loves you more and more

Soon you'll see that it was me you were searchin for



Oh my love searching for

I really need you

I really want you baby

I need you and I want you baby

Spring love - come back to me

I gotta have you baby



I can remember the first time we ever met

The sun was shining

Love was gleaming in the air

You caught my eye and the next thing that I knew

I was in love - I was so in love with you

We were so close for a season of my life

I wanted so much to have you for my wife

But something changed

Season came to an end

I had to leave you

And that's where my heartache began



Spring love come back to me

I need you and I want you baby

Spring love come back to me

I really need you

I gotta have you baby

Springtime love is on my mind and I won't forget

The way we shared the way we cared

And I don't regret it

I don't regret it - come back to me darlin

Springtime love is on my mind

And I won't forget

Come back to me darlin

The way we shared the way we cared

I really need you my springtime lover","freestyle, latin freestyle, 80s",freestyle,latin freestyle,80s
Stevie B,Diamond Girl,,"freestyle, 90s, pop",freestyle,90s,pop
